# DECL-GEN = (--emit) 2026-09-23 09:02:37 +0800
# DECL-ANCHORS = KD=eed45d278bff3a37 CS=b7b2d513cfdab2eb HO=e4dc264200b421d0 AB=38e67e834430d75c KRJ=089b7324ba12e022 KRF=ab09235afd949bc2 KRP=3c9e3a309b990d31
# grammar: D-[A-Z][0-9]*[a-z]?(-[A-Za-z0-9]+)*
# fields:  ID<TAB><id><TAB>req=<key,key,...|-><TAB>present=<key,key,...>
# 词法边界（实测）：D-ZZ9 **不合法**（scope 段只许"1 个大写字母 + 数字量词 + 可选 1 个小写"）
#   ⇒ 若真需要多位大写 scope，必须**同时**改 FAMRE 与本节说明（否则声明会被判 decl-unparsable）
#   req=K1,K2  ⇒ 该编号在 K1 与 K2 的 route 文件里**各至少出现一次**（缺一个即 FAIL 点名）
#   req=-      ⇒ **家族名/scaffold**（如 `D-G`、`D-T`），不要求在缺陷册里有条目
#   present=   ⇒ 仅"声明依据"（现场快照的并集），**不作判据**；与 `req` 冲突会被判 FAIL
ID	D-G48	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G49	req=KD,CS,AB	present=KD,CS,AB
ID	D-G5	req=KD,CS	present=KD,CS
ID	D-G50	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G51	req=KD,CS,AB	present=KD,CS,AB
ID	D-G52	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G53	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G54	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G55	req=KD,CS,HO,AB	present=KD,CS,HO,AB,KRJ
ID	D-G56	req=KD,CS,HO,AB	present=KD,CS,HO,AB,KRJ
ID	D-G57	req=KD,CS,HO,AB	present=KD,CS,HO,AB,KRJ
ID	D-G58	req=KD,CS,AB	present=KD,CS,AB
ID	D-G59	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G6	req=KD,CS	present=KD,CS
ID	D-G60	req=KD,CS,HO	present=KD,CS,HO
ID	D-G61	req=KD,CS,HO	present=KD,CS,HO
ID	D-G62	req=KD	present=KD
ID	D-G63	req=KD	present=KD
ID	D-G64	req=KD	present=KD
ID	D-G65	req=KD	present=KD
ID	D-G66	req=KD	present=KD
ID	D-G67	req=KD	present=KD
ID	D-G68	req=KD	present=KD
ID	D-G69	req=KD	present=KD
ID	D-G7	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G70	req=KD	present=KD
ID	D-G71	req=KD	present=KD
ID	D-G72	req=KD,AB	present=KD,AB,KRJ
ID	D-G73	req=KD	present=KD
ID	D-G74	req=KD	present=KD
ID	D-G75	req=KD	present=KD
ID	D-G76	req=KD	present=KD
ID	D-G77	req=KD,AB	present=KD,AB,KRJ
ID	D-G78	req=KD	present=KD
ID	D-G79	req=KD,AB	present=KD,AB
ID	D-G8	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G80	req=KD	present=KD
ID	D-G81	req=KD,AB	present=KD,AB,KRJ
ID	D-G82	req=KD,AB	present=KD,AB,KRJ
ID	D-G83	req=KD,AB	present=KD,AB,KRJ
ID	D-G84	req=KD	present=KD
ID	D-G85	req=KD,AB	present=KD,AB,KRJ
ID	D-G86	req=KD	present=KD
ID	D-G87	req=KD	present=KD
ID	D-G88	req=KD,AB	present=KD,AB,KRJ
ID	D-G89	req=KD,AB	present=KD,AB
ID	D-G9	req=KD,CS,HO,AB	present=KD,CS,HO,AB,KRJ
ID	D-G90	req=KD,AB	present=KD,AB
ID	D-G91	req=KD,AB	present=KD,AB
ID	D-G92	req=KD,AB	present=KD,AB,KRJ
ID	D-G93	req=KD	present=KD
ID	D-G94	req=KD	present=KD
ID	D-G95	req=KD	present=KD
ID	D-G96	req=KD	present=KD
ID	D-G97	req=KD,AB	present=KD,AB,KRJ
ID	D-G98	req=KD	present=KD
ID	D-G99	req=KD	present=KD
ID	D-K1	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-O1	req=KD,CS,HO,AB	present=KD,CS,HO,AB,KRJ
ID	D-P1	req=KD,CS,HO	present=KD,CS,HO
ID	D-R1	req=KD,HO	present=KD,HO
ID	D-R2	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-R3	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-R4	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-R5	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-R6	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-R7	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-R8	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-T1	req=KD,CS,HO,AB	present=KD,CS,HO,AB,KRJ
ID	D-T2	req=KD,CS,HO,AB	present=KD,CS,HO,AB,KRJ
ID	D-T2-c	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-T3	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-T4	req=KD,CS,HO,AB	present=KD,CS,HO,AB,KRF
ID	D-T5	req=KD,CS,HO,AB	present=KD,CS,HO,AB,KRP
ID	D-T5-R	req=KD,CS,HO,AB	present=KD,CS,HO,AB,KRF,KRP
ID	D-T6	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-T6-b	req=KD,CS,HO,AB	present=KD,CS,HO,AB,KRJ,KRF
ID	D-T6-c	req=KD,CS,HO,AB	present=KD,CS,HO,AB,KRJ
ID	D-T7	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-U1	req=KD,CS,HO	present=KD,CS,HO
